date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
08/07/2024,RHTR1,RHTR,0.4561,0.403,0.2033,2.61,
08/07/2024,RHTR1,RHTR,0.4561,0.3396,0.2033,2.94,
08/07/2024,RHTR2,RHTR,0.3722,0.3707,0.1663,0.39,
08/07/2024,RHTR2,RHTR,0.3722,0.3589,0.1663,0.76,
08/07/2024,RHTR2,RHTR,0.3722,0.3552,0.1663,1.09,
08/07/2024,RHTR2,RHTR,0.3722,0.3497,0.1663,1.41,
08/07/2024,RHTR2,RHTR,0.3722,0.3454,0.1663,1.66,
08/07/2024,RHTR2,RHTR,0.3722,0.3413,0.1663,2.02,
08/07/2024,RHTR2,RHTR,0.3722,0.335,0.1663,2.32,
08/07/2024,RHTR2,RHTR,0.3722,0.3318,0.1663,2.49,
08/07/2024,RHTR2,RHTR,0.3722,0.3287,0.1663,2.64,
